Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
2003,,32,12.5,,40,20.4,,72,31.7,,100,55.8,,101,61.3,,62,42.0
2004,,101,31.0,,124,45.2,,126,51.5,,145,66.0,,119,67.5,,78,49.9
2005,,36,11.0,,19,7.7,,35,11.5,,65,21.8,,53,25.5,,0,0.0
2006,,39,13.0,,102,35.8,,125,48.6,,130,55.8,,123,65.9,,76,47.7
2007,,79,31.6,,104,46.2,,135,57.4,,120,62.6,,122,69.3,,78,51.3
2008,,78,18.5,,,34.7,,,49.6,,,63.0,,,73.3,,105,53.1
2009,,56,12.9,,77,30.6,,88,36.5,,137,54.8,,115,64.1,,94,59.0
2010,,57,20.7,,60,28.4,,75,35.0,,105,46.3,,113,53.9,,89,49.2
2011,,56,20.7,,79,34.8,,120,47.0,,147,68.9,,173,83.2,,149,86.2
2012,,52,25.5,,100,43.6,,149,61.2,,200,84.8,,148,91.2,,109,84.0
2013,,82,26.9,,116,42.0,,140,56.4,,140,70.3,,155,81.3,,108,65.4
2014,,43,17.5,,80,32.9,,120,49.7,,157,75.7,,156,81.8,,119,73.4
2015,,26,7.8,,27,11.8,,26,10.7,,28,12.2,,29,14.4,,0,0.0
2016,,68,22.4,,75,27.7,,90,40.7,,113,55.0,,86,47.3,,37,21.5
2017,,82,24.4,,65,30.6,,97,40.3,,140,64.8,,139,72.7,,87,56.7
2018,,66,23.3,,106,40.5,,132,57.7,,154,73.1,,153,85.9,,82,50.3
2019,,49,16.1,,63,25.7,,89,35.5,,79,38.4,,77,40.1,,21,10.2
2020,,35,12.9,,85,40.1,,119,51.1,,152,68.6,,119,72.3,,79,49.9
2021,,60,22.1,,90,34.8,,141,58.7,,150,69.3,,125,74.9,,86,53.8
2022,,64,17.9,,64,27.2,,88,38.5,,98,46.1,,126,60.7,,99,54.7
2023,,55,20.4,,58,26.5,,104,44.6,,120,54.4,,107,57.9,,41,22.7
