Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1983,,,22.1,,,35.9,,,44.2,,,49.7,,,46.2,,,17.1
1984,,,26.1,,,31.1,,,42.8,,,50.7,,,56.3,,,44.3
1985,,,44.1,,,46.0,,,58.7,,,70.9,,,69.2,,,47.5
1986,,,14.8,,,28.2,,,33.2,,,36.6,,,36.7,,,13.5
1987,,,21.1,,,36.1,,,42.3,,,47.7,,,43.0,,,13.0
1988,,,16.8,,,29.0,,,38.9,,,54.4,,,53.9,,,31.8
1989,,,18.8,,,39.1,,,46.8,,,60.2,,,51.8,,,36.7
1990,,,4.2,,,28.9,,,50.1,,,58.0,,,50.6,,,36.2
1991,,,19.8,,,32.9,,,34.9,,,46.2,,,50.9,,,35.8
1992,,,16.8,,,24.0,,,29.3,,,26.5,,,19.3,,,0.0
1993,,,22.4,,,29.7,,,31.4,,,35.3,,,35.1,,,0.0
1994,,,15.9,,,20.7,,,35.2,,,39.6,,,35.0,,,6.0
1995,,,29.2,,,45.6,,,41.3,,,43.9,,,46.1,,,14.2
1996,,,16.6,,,31.1,,,35.9,,,33.5,,,35.4,,,20.3
1997,,,45.0,,,61.1,,,73.9,,,93.3,,,97.9,,,71.4
1998,,,14.6,,,37.8,,,47.8,,,55.6,,,49.9,,,22.9
1999,,,33.4,,,49.4,,,76.4,,,86.6,,,89.4,,,81.9
2000,,,19.0,,,31.9,,,43.5,,,56.1,,,57.1,,,36.1
2001,,,13.9,,,19.2,,,25.9,,,36.1,,,34.9,,,13.0
2002,,,22.4,,,39.9,,,48.9,,,65.6,,,74.9,,,55.5
2003,,,11.3,,,19.6,,,27.3,,,41.6,,,39.2,,,18.9
2004,,70,25.2,,88,38.7,,91,42.7,,92,46.5,,68,34.0,,23,11.7
2005,,,6.0,,9,4.7,,17,7.1,,46,16.0,,23,11.6,,0,0.0
2006,,50,19.9,,134,49.7,,145,59.4,,136,67.4,,118,64.6,,64,32.6
2007,,95,33.7,,104,45.7,,145,57.1,,113,58.5,,100,52.9,,55,27.0
2008,,86,24.9,,147,45.3,,141,68.0,,181,79.7,,172,86.8,,111,61.9
2009,,78,17.4,,60,26.7,,75,30.6,,134,51.2,,110,57.8,,72,36.2
2010,,55,19.3,,71,29.1,,77,35.0,,100,44.0,,108,51.2,,79,38.6
2011,,56,19.4,,57,24.6,,117,36.3,,117,58.9,,139,65.1,,107,56.7
2012,,62,24.5,,101,40.2,,140,55.2,,170,75.1,,137,75.6,,103,53.2
2013,,80,26.7,,95,37.2,,126,51.1,,115,56.0,,126,59.3,,69,32.1
2014,,26,9.8,,59,22.6,,117,45.0,,114,55.8,,108,57.3,,55,25.8
2015,,23,7.5,,20,9.4,,15,7.6,,16,4.6,,2,0.9,,0,0.0
2016,,85,24.9,,92,37.4,,95,42.2,,117,55.6,,81,37.2,,24,8.9
2017,,68,20.4,,67,26.2,,109,40.6,,121,56.5,,109,56.7,,59,27.8
2018,,52,17.5,,92,33.7,,116,44.4,,118,53.4,,115,57.1,,44,18.8
2019,,67,19.2,,,23.7,,,33.0,,,34.7,,,31.4,,,2.2
2020,,19,7.3,,69,27.6,,107,40.9,,127,48.5,,90,41.1,,37,16.2
2021,,69,23.4,,85,36.2,,149,54.3,,149,64.1,,125,69.5,,78,44.0
2022,,63,20.7,,72,30.9,,93,45.4,,88,43.5,,109,56.1,,79,45.2
2023,,63,24.3,,68,30.6,,108,45.0,,121,55.2,,99,55.0,,28,13.1
