Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1981,,,2.7,,,2.4,,,6.6,,,6.0,,,3.5,,,0.0
1982,,,14.6,,,29.2,,,34.0,,,37.0,,,36.4,,,17.8
1983,,,11.0,,,18.1,,,22.6,,,23.8,,,16.3,,,0.0
1984,,,21.0,,,25.5,,,31.7,,,37.1,,,37.1,,,22.8
1985,,,34.4,,,37.3,,,46.5,,,50.4,,,38.5,,,0.0
1986,,,14.0,,,25.6,,,33.7,,,33.3,,,28.2,,,0.0
1987,,,20.0,,,33.4,,,40.4,,,43.3,,,25.9,,,0.0
1988,,,17.1,,,30.0,,,37.2,,,49.8,,,39.8,,,3.1
1989,,,17.3,,,36.0,,,40.6,,,50.9,,,34.1,,,1.9
1990,,,6.9,,,35.0,,,53.3,,,54.8,,,37.2,,,6.1
1991,,,20.9,,,31.2,,,36.1,,,43.3,,,43.2,,,14.4
1992,,,20.5,,,28.4,,,32.7,,,22.8,,,4.3,,,0.0
1993,,,20.6,,,28.2,,,26.7,,,30.6,,,22.4,,,0.0
1994,,,13.1,,,20.2,,,32.0,,,39.6,,,31.8,,,0.0
1995,,,32.5,,,40.0,,,41.3,,,39.5,,,35.2,,,0.0
1996,,,13.0,,,23.1,,,30.0,,,31.1,,,25.4,,,4.7
1997,,,32.6,,,47.7,,,56.0,,,68.6,,,65.9,,,34.4
1998,,,12.2,,,27.7,,,33.3,,,35.7,,,22.1,,,0.0
1999,,,23.3,,,35.8,,,53.9,,,56.7,,,52.5,,,31.8
2000,,,17.5,,,29.1,,,35.8,,,42.6,,,31.0,,,9.3
2001,,,10.7,,,14.1,,,19.0,,,23.2,,,20.3,,,0.0
2002,,,17.6,,,29.7,,,36.0,,,47.2,,,43.6,,,24.2
2003,,38,9.1,,57,17.8,,67,21.6,,81,30.8,,62,25.8,,5,3.3
2004,,70,17.5,,102,28.2,,90,31.2,,84,32.6,,37,14.5,,0,0.0
2005,,27,6.5,,25,7.8,,30,10.4,,45,12.1,,7,2.2,,0,0.0
2006,,58,14.1,,126,34.0,,130,42.4,,118,45.1,,87,35.5,,22,10.3
2007,,77,21.1,,93,31.3,,119,36.7,,92,37.0,,68,27.4,,8,3.0
2008,,95,18.8,,127,31.3,,113,38.9,,131,44.7,,110,43.1,,45,21.3
2009,,65,12.1,,65,21.4,,73,22.1,,117,34.1,,81,29.2,,21,9.9
2010,,53,14.7,,70,21.5,,76,24.0,,84,27.4,,67,24.4,,27,10.1
2011,,50,12.9,,54,18.2,,102,24.9,,112,37.0,,113,40.8,,71,24.9
2012,,63,15.1,,90,28.0,,128,38.1,,147,48.1,,103,40.0,,49,21.1
2013,,73,20.0,,87,26.9,,112,32.5,,96,34.9,,84,30.3,,23,11.6
2014,,32,9.3,,64,16.5,,121,31.7,,113,36.1,,89,32.8,,23,10.8
2015,,33,7.2,,41,11.3,,34,11.4,,22,7.5,,2,0.4,,0,0.0
2016,,60,14.4,,71,22.2,,73,26.2,,83,31.3,,39,19.0,,0,0.0
2017,,72,15.1,,62,17.7,,86,27.4,,95,41.2,,77,37.0,,11,6.9
2018,,52,17.0,,105,32.8,,106,40.1,,97,45.8,,82,43.3,,1,0.4
2019,,51,16.7,,60,22.4,,86,27.6,,63,27.6,,39,18.0,,0,0.0
2020,,32,8.8,,85,33.3,,118,45.2,,122,50.7,,72,39.5,,9,6.3
2021,,67,17.7,,79,28.0,,139,50.1,,125,55.6,,81,45.9,,19,10.7
2022,,50,15.3,,79,27.1,,102,43.2,,85,36.9,,86,43.2,,50,26.8
2023,,56,18.5,,54,21.7,,86,30.9,,87,37.0,,59,32.0,,0,0.0
